Apple Pie,320
Baby Back Ribs,290
Baklava,335
Beef Carpaccio,120
Beef Tartare,180
Beet Salad,150
Beignets,250
Bibimbap,490
Bread Pudding,300
Breakfast Burrito,305
Bruschetta,170
Caesar Salad,330
Cannoli,220
Caprese Salad,250
Carrot Cake,330
Ceviche,200
Cheesecake,320
Cheese Plate,400
Chicken Curry,250
Chicken Quesadilla,310
Chicken Wings,430
Chocolate Cake,350
Chocolate Mousse,350
Churros,240
Clam Chowder,250
Club Sandwich,300
Crab Cakes,220
Creme Brulee,300
Croque Madame,360
Cupcakes,305
Deviled Eggs,200
Donuts,260
Dumplings,250
Edamame,120
Eggs Benedict,300
Escargots,200
Falafel,330
Filet Mignon,240
Fish and Chips,600
Foie Gras,400
French Fries,365
French Onion Soup,210
French Toast,300
Fried Calamari,300
Fried Rice,350
Frozen Yogurt,220
Garlic Bread,200
Gnocchi,250
Greek Salad,220
Grilled Cheese Sandwich,400
Grilled Salmon,280
Guacamole,230
Gyoza,200
Hamburger,350
Hot and Sour Soup,90
Hot Dog,290
Huevos Rancheros,360
Hummus,160
Ice Cream,210
Lasagna,400
Lobster Bisque,250
Lobster Roll Sandwich,400
Macaroni and Cheese,310
Macarons,70
Miso Soup,40
Mussels,150
Nachos,430
Omelette,240
Onion Rings,280
Oysters,50
Pad Thai,400
Paella,350
Pancakes,175
Panna Cotta,230
Peking Duck,340
Pho,350
Pizza,285
Pork Chop,220
Poutine,740
Prime Rib,400
Pulled Pork Sandwich,430
Ramen,430
Ravioli,220
Red Velvet Cake,370
Risotto,360
Samosa,130
Sashimi,200
Scallops,75
Seaweed Salad,70
Shrimp and Grits,250
Spaghetti Bolognese,380
Spaghetti Carbonara,360
Spring Rolls,100
Steak,679
Strawberry Shortcake,250
Sushi,200
Tacos,226
Takoyaki,350
Tiramisu,240
Tuna Tartare,150
Waffles,220
